Id,SalePrice
1461,113457.43446920233
1462,187486.24319132275
1463,160243.65332666834
1464,181100.59847988814
1465,209555.1302479666
1466,150530.2603603705
1467,164065.46301871663
1468,140155.1334368347
1469,191510.87326695782
1470,100659.31373812139
1471,220569.52498270274
1472,107747.05576858815
1473,101665.94241697565
1474,164493.29260934712
1475,123145.2195863674
1476,358015.66614224564
1477,227531.83205846805
1478,290229.5436196128
1479,282629.11832885124
1480,444219.5726814788
1481,283796.3007141043
1482,211321.75126920882
1483,181219.07570220417
1484,174996.72613918604
1485,184585.88380953233
1486,201766.73081838086
1487,281439.65551286755
1488,229022.05261031448
1489,183862.79685280132
1490,225276.9959528156
1491,199555.7572784969
1492,101893.95270291963
1493,166200.63527599417
1494,273653.3065888338
1495,289049.7923250224
1496,236703.48486695022
1497,195680.2410236627
1498,172040.86804181148
1499,174173.9103494162
1500,159621.6920638788
1501,180555.7777442965
1502,162586.84087017504
1503,250311.91064016955
1504,239625.06816368244
1505,226459.66472444826
1506,201231.15380567868
1507,249032.3030941872
1508,198241.2518315529
1509,160387.20444098464
1510,141450.2382124053
1511,149586.4854539731
1512,184344.34991664786
1513,153490.9019504726
1514,205495.01874797468
1515,228823.1833918968
1516,161374.36607607495
1517,174497.00732977947
1518,150289.75369780374
1519,235211.72323363865
1520,138636.74199885287
1521,146559.09171213978
1522,178756.48254951753
1523,101460.48702260107
1524,118795.52949090424
1525,123329.87036148319
1526,120798.73493849329
1527,82323.77465613515
1528,148478.71947825947
1529,136727.58402621953
1530,176732.85645241934
1531,125614.91228409097
1532,117058.47636906986
1533,156619.6515264352
1534,132042.86686065272
1535,176790.83824294576
1536,124377.69631704825
1537,32580.630148885124
1538,221254.17906442625
1539,246323.56938322258
1540,161764.3720568715
1541,153125.84110991465
1542,158170.04416914616
1543,224001.89411860539
1544,88212.24828776727
1545,133635.08490258516
1546,129545.92592488139
1547,146792.5046155551
1548,148541.19871763495
1549,105827.1682908913
1550,141429.69373308434
1551,151460.07595252135
1552,135527.32118607408
1553,184148.52871992896
1554,133308.08910357754
1555,175362.56689633348
1556,105490.07512949329
1557,161063.68250850827
1558,115320.90131586659
1559,119552.08296426988
1560,159757.32833780829
1561,166314.14300738653
1562,118990.92105180713
1563,114298.122481383
1564,166457.83758006824
1565,131595.97447710115
1566,232570.72011856808
1567,65297.258544444114
1568,217324.3489681504
1569,116214.36099826309
1570,139633.22908368512
1571,100068.21964101345
1572,148299.31496821044
1573,247342.6295445256
1574,123113.28565397073
1575,240546.5861643021
1576,221390.00554770674
1577,183667.39063103756
1578,147366.625139984
1579,124614.08392567953
1580,180820.13791942692
1581,144228.45263674954
1582,109362.35839581929
1583,304402.0931288439
1584,226082.38689022427
1585,154216.16351023098
1586,32893.56210323853
1587,93410.24169792907
1588,151276.04018304162
1589,88773.07869469316
1590,141389.42536758175
1591,83432.05128969904
1592,125151.84430919899
1593,118060.58278154745
1594,149132.8072327218
1595,130747.74204313595
1596,243239.91412688754
1597,183983.0465266295
1598,188535.20981249062
1599,204302.18449739346
1600,197043.92170263294
1601,31098.03245733318
1602,126522.54766052071
1603,89704.58485168792
1604,265562.0562761122
1605,250720.2438621456
1606,176109.99339703663
1607,201610.41559187524
1608,197193.48332507172
1609,183920.49720558923
1610,114849.18011102433
1611,125686.2896965098
1612,149035.42381499408
1613,132645.42727414894
1614,123192.06928218648
1615,86819.05857864363
1616,75452.410109058
1617,87950.09472150271
1618,110677.60860046424
1619,117822.36673134066
1620,177420.96596754243
1621,123290.26451779754
1622,140319.6200749988
1623,280183.3140912594
1624,224006.06557417425
1625,129680.84703774689
1626,177670.8131305134
